?subject	?label
<http://purl.obolibrary.org/obo/FOODON_03460242>	"dairy product added"@en
<http://purl.obolibrary.org/obo/FOODON_03306433>	"imitation ham-flavored seasoning"@en
<http://purl.obolibrary.org/obo/FOODON_03315822>	"cheddar cheese (for processing)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_13363>	"Borago officinalis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03316111>	"cereal protein-based crustacean analog"@en
<http://purl.obolibrary.org/obo/FOODON_03305119>	"candy made with alcohol"@en
<http://purl.obolibrary.org/obo/FOODON_03303210>	"cracker sandwich (peanut butter filled)"@en
<http://purl.obolibrary.org/obo/FOODON_03420289>	"bud"@en
<http://purl.obolibrary.org/obo/FOODON_03303218>	"cranberry sauce (jellied)"@en
<http://purl.obolibrary.org/obo/FOODON_03302358>	"breading mix for frying"@en
<http://purl.obolibrary.org/obo/FOODON_03309659>	"haddock croquette"@en
<http://purl.obolibrary.org/obo/FOODON_03301024>	"honey (raw)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_8266>	"Hippoglossus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_120427>	"Ensis ensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411359>	"alfalfa plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03520144>	"antarctic and southern indian ocean (fao major fishing area 58)"@en
<http://purl.obolibrary.org/obo/FOODON_03414535>	"horse mushroom"@en
<http://purl.obolibrary.org/obo/FOODON_03315559>	"table salt with reduced sodium content"@en
<http://purl.obolibrary.org/obo/NCBITaxon_9005>	"Phasianidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/GAZ_00003987>	"Gibraltar"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03316616>	"sweets, fruity, powdered, pressed"@en
<http://purl.obolibrary.org/obo/FOODON_03302856>	"coffee royal cake"@en
<http://purl.obolibrary.org/obo/GAZ_00002459>	"United States of America"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03304204>	"sauce italienne"@en
<http://purl.obolibrary.org/obo/FOODON_03307673>	"tuna and mushroom sauce (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03413737>	"perennial wallrocket plant as food source"@en
<http://purl.obolibrary.org/obo/CHEBI_25835>	"hexadecanoate ester"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411368>	"pinto bean plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03480030>	"packed in slightly sweetened water or juice"@en
<http://purl.obolibrary.org/obo/FOODON_03413109>	"glyceryl triacetate (triacetin) as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03490156>	"paperboard container"@en
<http://purl.obolibrary.org/obo/FOODON_03304996>	"soybean product (not further specified)"@en
<http://purl.obolibrary.org/obo/FOODON_03411352>	"cassava plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03400940>	"10000596 - biscuits/cookies variety packs (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_30996>	"Schilbeidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03401330>	"cereal bar (eurofir)"@en
<http://purl.obolibrary.org/obo/FOODON_03413821>	"smelt as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03412971>	"galangal plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03303744>	"candy cigarette"@en
<http://purl.obolibrary.org/obo/FOODON_00001823>	"durum wheat flour food product"@en
<http://purl.obolibrary.org/obo/FOODON_03302190>	"meal replacement (weight-reducing)"@en
<http://purl.obolibrary.org/obo/FOODON_03303213>	"oat cracker (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03400673>	"006  assorted tropical and sub-tropical fruit - inedible peel (fi) (ccpr)"@en
<http://purl.obolibrary.org/obo/FOODON_03307169>	"cranberry sauce made with whole cranberries"@en
<http://purl.obolibrary.org/obo/FOODON_03411725>	"hyacinth bean plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311582>	"rye bran"@en
<http://purl.obolibrary.org/obo/FOODON_03307317>	"fish ball with shrimp sauce (canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03412171>	"asafetida plant as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_112727>	"Polyprion"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03414258>	"azarole plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315887>	"batter mix"@en
<http://purl.obolibrary.org/obo/FOODON_00001870>	"food mix product"@en
<http://purl.obolibrary.org/obo/NCBITaxon_23066>	"Grossulariaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03306774>	"pie filling (artificially flavored, colored, canned)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_71611>	"Malpighia glabra"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03303898>	"potato stick (canned)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_3650>	"Cucurbitaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03308883>	"cusk eel (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03411804>	"colorado snapper as food source"@en
<http://purl.obolibrary.org/obo/GAZ_00002525>	"Suriname"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_22743>	"benzyl alcohols"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_223862>	"Raja brachyura"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_8561>	"Gekkonidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03303740>	"fruit bonbon"@en
<http://purl.obolibrary.org/obo/FOODON_03490183>	"plastic container, rigid or semirigid, tin-plated steel lid"@en
<http://purl.obolibrary.org/obo/NCBITaxon_101007>	"Fragaria chiloensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_10607>	"n-propyl gallate"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03311259>	"scallop (battered, frozen, whole)"@en
<http://purl.obolibrary.org/obo/FOODON_03302898>	"coffee cake"@en
<http://purl.obolibrary.org/obo/FOODON_03304796>	"scrambled egg mix"@en
<http://purl.obolibrary.org/obo/FOODON_03460228>	"flavoring added, artificial"@en
<http://purl.obolibrary.org/obo/FOODON_03307607>	"vegetable fat shake (food product)"@en
<http://purl.obolibrary.org/obo/CHEBI_26195>	"polyphenol"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03413519>	"fish, squantiniform as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_549311>	"Ulva limnetica"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03309036>	"stockfish (soaked)"@en
<http://purl.obolibrary.org/obo/FOODON_03304169>	"shortening (whipped)"@en
<http://purl.obolibrary.org/obo/FOODON_03315191>	"fat-water emulsion for use as a substitute for milk and cream in beverage coffee"@en
<http://purl.obolibrary.org/obo/FOODON_00002380>	"flavoring agent by composition"@en
<http://purl.obolibrary.org/obo/FOODON_03316798>	"grape (seedless, canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03315085>	"bakery product (yeast leavened)"@en
<http://purl.obolibrary.org/obo/FOODON_03310042>	"sheep kidney raw"@en
<http://purl.obolibrary.org/obo/FOODON_03480047>	"packed in vinegar with sugar and salt"@en
<http://purl.obolibrary.org/obo/FOODON_03315263>	"product containing gravy or sauce"@en
<http://purl.obolibrary.org/obo/NCBITaxon_260673>	"Citrullus lanatus var. citroides"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305017>	"nonfat dry milk (artificially sweetened)"@en
<http://purl.obolibrary.org/obo/FOODON_03308268>	"sea salmon (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03304795>	"apple juice (from cores and peels)"@en
<http://purl.obolibrary.org/obo/FOODON_03302122>	"holly berry brandy (food product)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_86204>	"Periophthalmus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03316663>	"confectionery (long-life, vitaminized)"@en
<http://purl.obolibrary.org/obo/FOODON_03316071>	"sobrasada"@en
<http://purl.obolibrary.org/obo/GO_0045333>	"cellular respiration"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03301768>	"pepper (canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03411741>	"black fungus as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03307398>	"blue pike (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03302855>	"whiskey sour cake"@en
<http://purl.obolibrary.org/obo/FOODON_03305042>	"egg yolk (dried)"@en
<http://purl.obolibrary.org/obo/FOODON_00001071>	"grape must food product"@en
<http://purl.obolibrary.org/obo/FOODON_03413509>	"lantern shark family as food source"@en
<http://purl.obolibrary.org/obo/FOODON_00001743>	"clingstone peach food product"@en
<http://purl.obolibrary.org/obo/FOODON_03430158>	"effervescent tablet"@en
<http://purl.obolibrary.org/obo/FOODON_03400233>	"ice milk (us cfr)"@en
<http://purl.obolibrary.org/obo/FOODON_03316891>	"berry dried"@en
<http://purl.obolibrary.org/obo/FOODON_03412118>	"ostrich as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03304693>	"macaroni salad (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03530043>	"shoulder (meat cut)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_36930>	"Saccostrea cucullata"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03308121>	"conch (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03316611>	"seasoning product, loose, concentrate (deprecated)"@en
<http://purl.obolibrary.org/obo/FOODON_03302837>	"icing mix"@en
<http://purl.obolibrary.org/obo/FOODON_03316982>	"beer low alcohol"@en
<http://purl.obolibrary.org/obo/FOODON_03316568>	"jam (in thermally formed packaging)"@en
<http://purl.obolibrary.org/obo/FOODON_03510074>	"no palm oil added claim or use"@en
<http://purl.obolibrary.org/obo/FOODON_03412126>	"coffee or tea plant as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_7777>	"Chondrichthyes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03307418>	"wheat sprout (juice)"@en
<http://purl.obolibrary.org/obo/FOODON_03412965>	"chinese artichoke plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315715>	"whey product dried"@en
<http://purl.obolibrary.org/obo/FOODON_03411407>	"european blackberry plant"@en
<http://purl.obolibrary.org/obo/NCBITaxon_84860>	"Carissa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411784>	"fantail mullet as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03302180>	"ham (smoked)"@en
<http://purl.obolibrary.org/obo/FOODON_03413997>	"pacific pomfret as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03412276>	"tautog as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03530024>	"round or leg (meat cut)"@en
<http://purl.obolibrary.org/obo/FOODON_03411970>	"northern shrimp as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315400>	"custard mix"@en
<http://purl.obolibrary.org/obo/FOODON_03306324>	"mistletoe tea (dry)"@en
<http://purl.obolibrary.org/obo/FOODON_03412177>	"american eel as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315505>	"sujiko"@en
<http://purl.obolibrary.org/obo/FOODON_03316235>	"biscuit (containing fat)"@en
<http://purl.obolibrary.org/obo/FOODON_03411483>	"parsnip plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03311396>	"caramel candy with white centers"@en
<http://purl.obolibrary.org/obo/FOODON_03414535>	"horse mushroom as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03414246>	"manchurian wild rice plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_00001601>	"animal product based dressing"@en
<http://purl.obolibrary.org/obo/FOODON_03413533>	"perlemoen abalone as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315713>	"sweetened coating mix for snack food"@en
<http://purl.obolibrary.org/obo/FOODON_03413650>	"atlantic giant cockle as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03303138>	"cookie (lemon-flavored puff)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_1307774>	"Atripliceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411212>	"litchi plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03414452>	"potassium phosphates as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03307057>	"potato chip (onion- and garlic-flavored)"@en
<http://purl.obolibrary.org/obo/FOODON_03414243>	"foxtail millet plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03412582>	"flathead catfish species as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_9793>	"Equus asinus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305257>	"cream toffee"@en
<http://purl.obolibrary.org/obo/FOODON_03420165>	"fruit or seed"@en
<http://purl.obolibrary.org/obo/FOODON_03303505>	"longhorn cheddar cheese"@en
<http://purl.obolibrary.org/obo/FOODON_03309716>	"colza (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03310261>	"german bread"@en
<http://purl.obolibrary.org/obo/FOODON_00001750>	"cod food product"@en
<http://purl.obolibrary.org/obo/FOODON_03301192>	"basil (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03510093>	"no modified food starch added claim or use"@en
<http://purl.obolibrary.org/obo/FOODON_03400897>	"10000210 - fruit herbal infusions - instant (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_03310921>	"beef ground round (cooked, frozen)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_89056>	"Microstomus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03411421>	"soft wheat plant as food source"@en
<http://purl.obolibrary.org/obo/GAZ_00002828>	"Brazil"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03400874>	"global product classification (gs1 gpc)"@en
<http://purl.obolibrary.org/obo/FOODON_03305153>	"vanilla bean (spent) food product"@en
<http://purl.obolibrary.org/obo/FOODON_03305206>	"western omelet mix"@en
<http://purl.obolibrary.org/obo/FOODON_03530186>	"fat content < 15%"@en
<http://purl.obolibrary.org/obo/FOODON_03460288>	"curing or aging < 2 weeks"@en
<http://purl.obolibrary.org/obo/FOODON_03302442>	"butter gravy"@en
<http://purl.obolibrary.org/obo/FOODON_03309453>	"oxtail soup (thickened)"@en
<http://purl.obolibrary.org/obo/FOODON_03303605>	"chocolate-flavored topping"@en
<http://purl.obolibrary.org/obo/FOODON_03316335>	"fruit for further processing in the confectionery and beverages industries"@en
<http://purl.obolibrary.org/obo/FOODON_03413858>	"southern african pilchard as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315909>	"pineapple juice reconstituted"@en
<http://purl.obolibrary.org/obo/FOODON_03316499>	"egg white hydrolysate"@en
<http://purl.obolibrary.org/obo/CHEBI_35341>	"steroid"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_37217>	"titanium molecular entity"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305956>	"whiskey jelly"@en
<http://purl.obolibrary.org/obo/FOODON_03414497>	"steller sea lion as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_16718>	"Juglans"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305452>	"strawberry fruit juice bar (frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03306307>	"macaroni and cheese mix (cooked, frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03311709>	"garlic in butter"@en
<http://purl.obolibrary.org/obo/FOODON_03316753>	"fish of the gadidae family dried salted"@en
<http://purl.obolibrary.org/obo/FOODON_03305107>	"orange candy drop (sweetened with sorbitol)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_521024>	"Etrumeus whiteheadi"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.ebi.ac.uk/ancestro/ancestro_0395>	"Macedonian"@en
<http://purl.obolibrary.org/obo/NCBITaxon_68520>	"Macrourus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03317347>	"poultry spread"@en
<http://purl.obolibrary.org/obo/FOODON_03311738>	"egg yolk (low cholesterol, low fat)"@en
<http://purl.obolibrary.org/obo/FOODON_03302278>	"imitation lemon drink mix (vitamin-fortified, artificially sweetened)"@en
<http://purl.obolibrary.org/obo/FOODON_03411172>	"garbanzo bean plant as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_72085>	"Sebastes melanops"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03302196>	"potato (baked)"@en
<http://purl.obolibrary.org/obo/FOODON_03311737>	"processed food product"@en
<http://purl.obolibrary.org/obo/FOODON_00002349>	"wheat based gravy or sauce food product"@en
<http://purl.obolibrary.org/obo/FOODON_03400412>	"flavour enhancer (codex)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_306945>	"Annona senegalensis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03315731>	"pork fatty tissue (partially defatted)"@en
<http://purl.obolibrary.org/obo/FOODON_03412386>	"japanese hard clam as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03305793>	"ice milk made from goat's milk (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03310343>	"peanut whey"@en
<http://purl.obolibrary.org/obo/NCBITaxon_19955>	"Ebenaceae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_499858>	"Thyrsites atun"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03306118>	"lingonberry (frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03530137>	"gite arriere"@en
<http://purl.obolibrary.org/obo/FOODON_03316530>	"fruit puree semi-finished"@en
<http://purl.obolibrary.org/obo/NCBITaxon_32525>	"Theria <Mammalia>"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03412605>	"suez fusilier as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315516>	"milk (fruit-flavored)"@en
<http://purl.obolibrary.org/obo/FOODON_03317671>	"coconut desiccated"@en
<http://purl.obolibrary.org/obo/FOODON_03315123>	"mushroom cooked canned"@en
<http://purl.obolibrary.org/obo/FOODON_03413616>	"branchiopod as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315194>	"cheese spread with fruits vegetables or meats pasteurized"@en
<http://purl.obolibrary.org/obo/FOODON_03411169>	"green olive plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03307115>	"grape spread"@en
<http://purl.obolibrary.org/obo/FOODON_00001168>	"leguminous food product"@en
<http://purl.obolibrary.org/obo/FOODON_03309686>	"green mussel (raw)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_8465>	"Cheloniidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03304823>	"roll (seeded)"@en
<http://purl.obolibrary.org/obo/FOODON_03420005>	"part of plant or animal not applicable (deprecated)"@en
<http://purl.obolibrary.org/obo/ENVO_01001110>	"ecosystem"@en
<http://purl.obolibrary.org/obo/FOODON_03414060>	"golden trout as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03304343>	"memmi"@en
<http://purl.obolibrary.org/obo/FOODON_00001676>	"cabbage pickle food product (deprecated)"@en
<http://purl.obolibrary.org/obo/FOODON_03411953>	"ocean quahog (deprecated)"@en
<http://purl.obolibrary.org/obo/FOODON_03310189>	"belgian carrot cut raw"@en
<http://purl.obolibrary.org/obo/CHEBI_35990>	"bridged compound"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03420109>	"thymus or pancreas"@en
<http://purl.obolibrary.org/obo/FOODON_03307276>	"imitation colby cheese"@en
<http://purl.obolibrary.org/obo/FOODON_03309906>	"sorghum seed"@en
<http://purl.obolibrary.org/obo/FOODON_03411956>	"norway lobster as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03304387>	"honey (jellied, diluted)"@en
<http://purl.obolibrary.org/obo/FOODON_03310081>	"goat milk ultra-pasteurized"@en
<http://purl.obolibrary.org/obo/FOODON_03301492>	"half and half (sour)"@en
<http://purl.obolibrary.org/obo/FOODON_03304310>	"coffee sugar"@en
<http://purl.obolibrary.org/obo/FOODON_03310685>	"gaspergou raw"@en
<http://purl.obolibrary.org/obo/CHEBI_18310>	"alkane"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03311078>	"infant formula soy-based liquid concentrated"@en
<http://purl.obolibrary.org/obo/FOODON_03411137>	"pacific whiting as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_209541>	"Trichodon trichodon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_8139>	"Oreochromis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_27774>	"Triglidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03311132>	"chicken potato cornbread and/or vegetable frozen dinner"@en
<http://purl.obolibrary.org/obo/NCBITaxon_148605>	"Trichodontidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03412109>	"evening primrose plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03308309>	"oyster (breaded, pan-fried)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_37623>	"Ostrea edulis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03470108>	"preservation by treatment with chemicals"@en
<http://purl.obolibrary.org/obo/UBERON_0002113>	"kidney"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_33892>	"iron coordination entity"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_17309>	"pectin"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03302073>	"mullet roe salted air-dried"@en
<http://purl.obolibrary.org/obo/FOODON_03302607>	"cream (cultured)"@en
<http://purl.obolibrary.org/obo/FOODON_00001691>	"cassava snack food product"@en
<http://purl.obolibrary.org/obo/FOODON_03310327>	"onion frozen"@en
<http://purl.obolibrary.org/obo/FOODON_03303650>	"diabetic candy"@en
<http://purl.obolibrary.org/obo/FOODON_03412469>	"temple orange plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_00001734>	"chocolate product analog"@en
<http://purl.obolibrary.org/obo/FOODON_03306049>	"pineapple jelly mint-flavored artificially colored"@en
<http://purl.obolibrary.org/obo/FOODON_03490144>	"laminate bag or pouch"@en
<http://purl.obolibrary.org/obo/FOODON_03311295>	"rice medium grain raw"@en
<http://purl.obolibrary.org/obo/FOODON_03308799>	"okra shrimp gumbo mix"@en
<http://purl.obolibrary.org/obo/FOODON_03306635>	"imitation olive oil"@en
<http://purl.obolibrary.org/obo/FOODON_03411256>	"spot croaker as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03301343>	"cellulose"@en
<http://purl.obolibrary.org/obo/FOODON_03315843>	"vegetable oil creaming agent"@en
<http://purl.obolibrary.org/obo/FOODON_03310590>	"beef kidney (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03307356>	"imitation cherry juice"@en
<http://purl.obolibrary.org/obo/CHEBI_33620>	"aluminium molecular entity"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03315337>	"shellfish (dried)"@en
<http://purl.obolibrary.org/obo/FOODON_00001916>	"grain based alcoholic beverage"@en
<http://purl.obolibrary.org/obo/NCBITaxon_4513>	"Hordeum vulgare"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03317168>	"oat must"@en
<http://purl.obolibrary.org/obo/NCBITaxon_59757>	"Metanephrops mozambicus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03309579>	"imitation wine vinegar"@en
<http://www.ebi.ac.uk/ancestro/ancestro_0434>	"Bahraini"@en
<http://purl.obolibrary.org/obo/FOODON_03309463>	"lentil soup (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03307242>	"parsnip (raw)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_27704>	"Gobio gobio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_15366>	"acetic acid"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_35605>	"carbon oxoacid"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_9836>	"Camelus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03400370>	"antimould and antitrope agent (codex)"@en
<http://purl.obolibrary.org/obo/FOODON_03301766>	"cottonseed meal"@en
<http://purl.obolibrary.org/obo/FOODON_03317368>	"beverage, nonalcoholic, noncarbonated"@en
<http://purl.obolibrary.org/obo/UBERON_0007378>	"egg yolk"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_85249>	"Pouteria"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03317351>	"poultry product (cured)"@en
<http://purl.obolibrary.org/obo/FOODON_03302519>	"butter-flavored roll (frozen)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_504414>	"Eriphia gonagra"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03316802>	"vermicelli (enriched)"@en
<http://purl.obolibrary.org/obo/FOODON_03307934>	"torula yeast (artificially bacon-flavored, smoked, dried)"@en
<http://purl.obolibrary.org/obo/FOODON_03411958>	"olympia flat oyster as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03315072>	"beverage prepared from dry mix"@en
<http://purl.obolibrary.org/obo/FOODON_03316938>	"tea leaf (decaffeinated)"@en
<http://purl.obolibrary.org/obo/FOODON_03302436>	"lemon butter"@en
<http://purl.obolibrary.org/obo/FOODON_03308827>	"shrimp (cooked, frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_03307504>	"peach (artificially sweetened, canned)"@en
<http://purl.obolibrary.org/obo/FOODON_03311759>	"dandelion (not further specified)"@en
<http://purl.obolibrary.org/obo/FOODON_03304375>	"milk (reconstituted)"@en
<http://purl.obolibrary.org/obo/FOODON_03305561>	"grapefruit (red, raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03315794>	"goat's milk evaporated skimmed"@en
<http://purl.obolibrary.org/obo/FOODON_03317470>	"rote grutze (food product)"@en
